Generation,Mean_RMSE,Std_Dev,Best_RMSE
166,41.81342,1.686979,38.756855
167,41.765205,1.6772928,38.740353
168,41.689247,1.6720431,38.65294
169,41.632927,1.6820123,38.640457
170,41.602272,1.678019,38.60434
171,41.544395,1.6738578,38.60434
172,41.48654,1.66263,38.54423
173,41.42447,1.6430147,38.45013
174,41.392624,1.6490309,38.44787
175,41.357124,1.6551415,38.36322
176,41.30197,1.6489158,38.36322
177,41.24531,1.6643443,38.292274
178,41.192257,1.6408939,38.271248
179,41.16996,1.640159,38.265022
180,41.12693,1.6383471,38.202534
181,41.078026,1.6313843,38.164185
182,41.0382,1.6259032,38.1308
183,41.00366,1.6334895,38.02933
184,40.97265,1.6343261,38.023827
185,40.951927,1.6383469,38.016533
186,40.886497,1.6394587,37.857166
187,40.845997,1.6267298,37.84918
188,40.805042,1.6330749,37.751072
189,40.76896,1.6436663,37.739502
190,40.732018,1.6533115,37.739502
191,40.679924,1.6288968,37.739502
192,40.631264,1.660213,37.658936
193,40.599976,1.6604234,37.658936
194,40.568947,1.661058,37.59963
195,40.55184,1.6636357,37.59963
196,40.501606,1.6473627,37.59963
197,40.459076,1.6479514,37.507282
198,40.43144,1.6445378,37.507282
199,40.364784,1.6412578,37.507282
200,40.35063,1.6442608,37.47186
201,40.328407,1.6568973,37.432762
202,40.277225,1.6396973,37.417862
203,40.264336,1.6410468,37.380405
204,40.22698,1.6346272,37.336323
205,40.195595,1.6058728,37.336323
206,40.17061,1.614943,37.232445
207,40.143272,1.6007673,37.231316
208,40.113827,1.5919559,37.231316
209,40.088524,1.5854334,37.16603
210,40.05829,1.5878456,37.16603
211,40.03057,1.5850422,37.13145
212,40.005573,1.5849278,37.13145
213,39.978996,1.5805836,37.100292
214,39.956123,1.5646409,37.0837
215,39.924885,1.5704563,37.034954
216,39.895794,1.5689222,37.01978
217,39.863155,1.5670441,37.005123
218,39.82302,1.5564764,36.96494
219,39.806515,1.5587354,36.96494
220,39.77385,1.5588223,36.925217
221,39.74576,1.5392753,36.925217
222,39.70409,1.5408742,36.856083
223,39.667442,1.5371876,36.847874
224,39.640694,1.5401828,36.847874
225,39.61722,1.5291957,36.81421
226,39.590416,1.5262467,36.767967
227,39.566357,1.53676,36.724567
228,39.555176,1.5410869,36.695114
229,39.53825,1.5398191,36.695114
230,39.50501,1.5352722,36.613297
231,39.462795,1.5232863,36.58855
232,39.43448,1.5235765,36.58855
233,39.41074,1.5269215,36.570324
234,39.390007,1.5301753,36.56902
235,39.366676,1.5267603,36.515156
236,39.333908,1.5295206,36.43815
237,39.28602,1.5250698,36.43815
238,39.259514,1.5275128,36.437626
239,39.232742,1.5263089,36.344337
240,39.219627,1.5308452,36.344337
241,39.17959,1.5252529,36.344337
242,39.153656,1.5197055,36.301975
243,39.13388,1.5097339,36.301975
244,39.107002,1.5017751,36.301975
245,39.07241,1.5107147,36.263294
246,39.050034,1.5109173,36.25413
247,39.032215,1.5028353,36.25413
248,39.010353,1.4943931,36.251476
249,38.981873,1.5002228,36.243248
250,38.957172,1.5129013,36.203987
251,38.920723,1.5044969,36.197937
252,38.892006,1.5192654,36.197937
253,38.88305,1.5148104,36.197937
254,38.87525,1.5161564,36.197937
255,38.848595,1.5059378,36.197937
256,38.829197,1.5067523,36.197937
257,38.790264,1.4922651,36.197937
258,38.78219,1.4952754,36.197937
259,38.772484,1.4928133,36.197937
260,38.752365,1.4934686,36.197937
261,38.713905,1.4910815,36.197937
262,38.694935,1.4895529,36.197937
263,38.66958,1.4891503,36.197937
264,38.64379,1.4647859,36.197937
265,38.62857,1.4629683,36.197937
266,38.624016,1.4658839,36.197937
267,38.593616,1.4804684,36.197937
268,38.571938,1.4775498,36.197937
269,38.560226,1.4834925,36.188778
270,38.53182,1.4846302,36.188778
271,38.51516,1.4835533,36.176712
272,38.483604,1.4839208,36.12445
273,38.457333,1.4875276,36.0751
274,38.438053,1.4880553,36.055054
275,38.411987,1.5045484,35.957203
276,38.389263,1.5060488,35.957203
277,38.361084,1.5076251,35.947834
278,38.35203,1.5065006,35.88718
279,38.34217,1.5094401,35.809093
280,38.315117,1.5221767,35.809093
281,38.286747,1.5136743,35.777763
282,38.27303,1.5169969,35.7617
283,38.255985,1.5129423,35.738716
284,38.23971,1.5039899,35.729877
285,38.211338,1.5051703,35.720825
286,38.184166,1.4918661,35.696472
287,38.14138,1.5191044,35.661404
288,38.11601,1.5212625,35.610584
289,38.083546,1.5309695,35.610584
290,38.04621,1.5089995,35.610584
291,38.035362,1.5063217,35.601475
292,38.01812,1.5130203,35.54063
293,38.006454,1.5089824,35.54063
294,37.995785,1.5089202,35.538734
295,37.96413,1.507115,35.455063
296,37.95128,1.4964868,35.455063
297,37.93469,1.5006433,35.42564
298,37.906105,1.5073646,35.315723
299,37.8791,1.5189753,35.282963
300,37.85555,1.5095922,35.251957
301,37.82969,1.504444,35.251957
